id,Season,team1,team2,winner,venue,player_of_match
564,IPL-2015,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",DA Warner
565,IPL-2015,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Z Khan
566,IPL-2015,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",AR Patel
567,IPL-2015,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,HH Pandya
568,IPL-2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",V Kohli
569,IPL-2015,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",P Negi
570,IPL-2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Brabourne Stadium,SR Watson
571,IPL-2015,Delhi Daredevils,Royal Challengers Bangalore,,M Chinnaswamy Stadium,
572,IPL-2015,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",MJ McClenaghan
573,IPL-2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,KA Pollard
574,IPL-2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,AB de Villiers
575,IPL-2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,JSCA International Stadium Complex,A Nehra
576,IPL-2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Eden Gardens,RG Sharma
577,IPL-2016,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,Wankhede Stadium,AM Rahane
578,IPL-2016,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,AD Russell
579,IPL-2016,Kings XI Punjab,Gujarat Lions,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",AJ Finch
580,IPL-2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,AB de Villiers
581,IPL-2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,RG Sharma
582,IPL-2016,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,Saurashtra Cricket Association Stadium,AJ Finch
583,IPL-2016,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,A Mishra
584,IPL-2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",G Gambhir
585,IPL-2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,Wankhede Stadium,AJ Finch
586,IPL-2016,Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",M Vohra
587,IPL-2016,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,M Chinnaswamy Stadium,Q de Kock
588,IPL-2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",DA Warner
589,IPL-2016,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",RV Uthappa
590,IPL-2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Wankhede Stadium,RG Sharma
591,IPL-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,B Kumar
592,IPL-2016,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,AB de Villiers
593,IPL-2016,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,SV Samson
594,IPL-2016,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mustafizur Rahman
595,IPL-2016,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Saurashtra Cricket Association Stadium,V Kohli
596,IPL-2016,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,SA Yadav
