id,Season,team1,team2,winner,venue,player_of_match
11323,IPL-2019,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,IS Bindra Stadium,R Ashwin
11324,IPL-2019,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,DA Warner
11325,IPL-2019,Mumbai Indians,Delhi Capitals,Mumbai Indians,Feroz Shah Kotla Ground,HH Pandya
11326,IPL-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,V Kohli
11327,IPL-2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,SPD Smith
11328,IPL-2019,Kings XI Punjab,Delhi Capitals,Delhi Capitals,Feroz Shah Kotla Ground,SS Iyer
11329,IPL-2019,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,K Ahmed
11330,IPL-2019,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,PA Patel
11331,IPL-2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Sawai Mansingh Stadium,RR Pant
11332,IPL-2019,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,M. A. Chidambaram Stadium,SR Watson
11333,IPL-2019,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M. Chinnaswamy Stadium,AB de Villiers
11334,IPL-2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Eden Gardens,VR Aaron
11335,IPL-2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,RG Sharma
11336,IPL-2019,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,JD Unadkat
11337,IPL-2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla Ground,S Dhawan
11338,IPL-2019,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,AD Russell
11339,IPL-2019,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,DA Warner
11340,IPL-2019,Royal Challengers Bangalore,Rajasthan Royals,,M. Chinnaswamy Stadium,
11341,IPL-2019,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,M. A. Chidambaram Stadium,MS Dhoni
11342,IPL-2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,JJ Bumrah
11343,IPL-2019,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,IS Bindra Stadium,S Gill
11344,IPL-2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Feroz Shah Kotla Ground,A Mishra
11345,IPL-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,M. Chinnaswamy Stadium,S Hetmyer
11346,IPL-2019,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,IS Bindra Stadium,KL Rahul
11347,IPL-2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium,HH Pandya
11412,IPL-2019,Chennai Super Kings,Mumbai Indians,Mumbai Indians,M. A. Chidambaram Stadium,AS Yadav
11413,IPL-2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,ACA-VDCA Stadium,RR Pant
11414,IPL-2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,ACA-VDCA Stadium,F du Plessis
11415,IPL-2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,JJ Bumrah
